,l,b,d,r,phi,x,y,z,vlos,vll,vbb,mu_l,mu_b,vphi,vr,vT,vz,vx,vy
48,44.0915491312,-0.000117459097749,9.97663736679,6.99178345659,1.4511590513,0.834483922214,6.94180614015,0.0,7.76459660704,-293.860466793,-6.59159790608,-6.21347008061,-0.13937463865,254.830775825,-1.8612383764e-09,222.715200331,0.0,-221.123230541,26.5815231621
49,21.9850288907,-0.000107552270991,14.1203516362,7.3408140983,2.33764164929,-5.09354866904,5.28614354533,0.0,-6.7305361875,-413.709605182,-6.7775989596,-6.18056259146,-0.101253086863,241.721280152,3.54693270211e-06,221.80387265,0.0,-159.721675567,-153.902385546
50,295.507284779,4.06376541686e-05,4.76998110811,7.34081392345,5.6565103293,5.94592683044,-4.30505553806,0.0,-13.2989159695,-150.039720156,-7.74271652542,-6.63532529966,-0.3424122812,241.721291667,2.21801317138e-07,221.803877933,0.0,130.077948349,179.657139071
51,35.0579378062,-0.000115471508033,0.823945131017,7.34081391252,0.064516773832,7.32554145745,0.473277142183,0.0,-3.41850993503,-10.771827501,-7.33772443477,-2.7565754013,-1.87776778607,241.721292387,1.38628917571e-08,221.803878263,0.0,-14.3001452944,221.342418567
52,293.96618928,4.3588205781e-05,3.91835845352,7.34081391252,5.7736657465,6.40837599549,-3.58053990322,0.0,-13.1261281853,-124.664137264,-7.68967970725,-6.71130739554,-0.413974743829,241.721292387,1.38653721172e-08,221.803878263,0.0,108.186591619,193.63011596
53,298.133603806,3.5542780363e-05,5.80132664036,7.3408140983,5.51210205756,5.26451005235,-5.115905153,0.0,-13.5636703406,-180.58504002,-7.80584686389,-6.56642541825,-0.283835866206,241.721280152,3.54693270249e-06,221.80387265,0.0,154.577895384,159.068011182
54,339.489821284,-4.73260041343e-05,14.2774742095,7.3408140983,3.89134722257,-5.37241988606,-5.00246501173,0.0,-13.7056480232,-426.396822348,-7.74008210142,-6.29999938285,-0.114359464955,241.721280152,3.54693221603e-06,221.80387265,0.0,151.150278223,-162.328528964
55,77.0067273573,-0.000100440655592,4.08438378446,8.12336292085,0.511999441336,7.08167714032,3.97980828987,0.0,-17.9617988254,-103.227729824,-7.04588921699,-5.33138806439,-0.36389805083,216.321615049,9.16025293241e-09,219.657373333,0.0,-107.614819598,191.489979535
56,6.87134866094,-9.14902733178e-05,16.0093201765,8.12336292204,2.90356900863,-7.89433170936,1.91534645055,0.0,-12.9134027887,-447.373953325,-7.10233773392,-5.89489227361,-0.0935850545636,216.321614985,1.46551818446e-07,219.657373301,0.0,-51.7913548224,-213.464323041
57,288.604948119,5.35935423278e-05,5.46837670992,8.12336292085,5.59130309066,6.25536758139,-5.18260567336,0.0,11.5781856368,-163.442508359,-7.68094488762,-6.3049355696,-0.296299066358,216.321615049,9.16034346711e-09,219.657373333,0.0,140.138703685,169.146402235
58,82.9809028442,-9.3547338264e-05,2.69363426816,8.12336292085,0.335356545614,7.67083497333,2.67344645651,0.0,-17.0874902457,-63.7875069494,-7.21116788727,-4.99524614737,-0.564711811601,216.321615049,9.1609065113e-09,219.657373333,0.0,-72.2905318936,207.420926278
59,4.29533513511,-8.80835909362e-05,16.0787659596,8.12336292204,2.99279958192,-8.03360560122,1.20424507769,0.0,-12.2497689833,-449.817054897,-7.16316398156,-5.9014845786,-0.0939788772145,216.321614985,1.46552344493e-07,219.657373301,0.0,-32.5630301506,-217.230317205
60,14.9913755396,-0.000100988602118,15.2938090314,7.8439813373,2.61296661485,-6.7732844669,3.95609160035,0.0,-12.6305589122,-434.093004105,-6.91930387561,-5.98749468663,-0.0954387534438,224.816661599,1.56759162325e-08,220.432212237,0.0,-111.174413335,-190.343400231
61,3.79738964595,-8.74043249809e-05,15.8085039772,7.84398134137,3.0077203718,-7.7737971695,1.04695790326,0.0,-11.5557796935,-450.925261642,-7.1743414272,-6.01716398681,-0.09573468718,224.816661366,2.50794656145e-07,220.432212123,0.0,-29.4216977988,-218.45989069
62,74.8376184653,-0.000102677086907,3.47317438667,7.8439813373,0.441579551689,7.09156893124,3.35226689175,0.0,-10.0157496772,-88.8531328773,-7.05439728278,-5.39651641806,-0.428450517424,224.816661599,1.56772491474e-08,220.432212237,0.0,-94.2056814099,199.287856584
63,358.893596905,-8.03705603448e-05,15.8409684113,7.84398140637,3.18059942331,-7.83801474397,-0.305890792382,0.0,-10.9431252995,-452.800024269,-7.29392485725,-6.02979809432,-0.097130944892,224.81665764,4.01023074784e-06,220.432210296,0.0,8.5961641861,-220.264534815
64,349.553737661,-6.53928875647e-05,15.5761017093,7.8439813373,3.50990627201,-7.31793132733,-2.82416789664,0.0,-9.55841484003,-447.029564626,-7.51787858413,-6.05418252512,-0.101815657736,224.816661599,1.56772434402e-08,220.432212237,0.0,79.3649997753,-205.649111359
65,335.154330275,-3.90597272469e-05,14.3467788794,7.8439813373,4.01810169981,-5.01887631224,-6.02817748432,0.0,-6.94085586099,-414.564658436,-7.80565219402,-6.09559085996,-0.114771148967,224.816661599,1.56768081974e-08,220.432212237,0.0,169.404342184,-141.040877199
66,357.534083953,-7.83140657982e-05,15.7406598687,7.75571019738,3.2290277538,-7.72608327733,-0.677257600634,0.0,-10.8796949038,-452.959880302,-7.32749857134,-6.07036566001,-0.0981998575051,227.626669286,4.33304277651e-06,220.675810022,0.0,19.2702321687,-219.832825759
67,284.308716287,6.12769413195e-05,1.73177167192,7.755710108,6.06509754566,7.57200038473,-1.67804929993,0.0,1.83136809301,-61.1483499663,-7.40942093383,-7.44779063822,-0.90245797141,227.626674533,1.6938942448e-08,220.675812566,0.0,47.7460977472,215.448658389
68,317.632094177,-3.88032687244e-06,11.4862232596,7.75571011326,4.64963363853,-0.486392837986,-7.74044322814,0.0,-5.07637563514,-337.693939262,-7.97153834142,-6.20188318103,-0.146400464499,227.626674224,2.70980654652e-07,220.675812416,0.0,220.241418613,-13.8394982801
69,308.289510398,1.523661809e-05,9.5094006224,7.75571011326,4.98760426157,2.10764619772,-7.46383727489,0.0,-3.23791768011,-282.126351063,-7.94997827083,-6.25846177963,-0.176355859598,227.626674224,2.70980577027e-07,220.675812416,0.0,212.371057053,59.9695615429
70,290.282747659,5.05087394197e-05,4.73326527964,7.755710108,5.6736919117,6.35920244199,-4.43977291999,0.0,0.517714575404,-146.666255325,-7.67704156876,-6.53644931672,-0.342141367183,227.626674533,1.69379530028e-08,220.675812566,0.0,126.326343196,180.94051306
71,335.900522233,-4.049971702e-05,15.2564364751,8.59840054581,3.95190348891,-5.92664762321,-6.22955374779,0.0,1.75984475148,-418.489632127,-7.78032034052,-5.78641545974,-0.107577732981,203.144250543,-5.31617119913e-08,218.339454344,0.0,158.187253451,-150.495548668
72,47.8901651351,-0.000117424958792,11.5861475961,8.59840054564,1.54394453245,0.230854739075,8.59530092741,0.0,-29.0124218887,-305.499153304,-6.60441977569,-5.56222484659,-0.120246708956,203.144250552,-3.32368795818e-09,218.339454348,0.0,-218.260745646,5.86210161615
73,319.979256966,-8.68688842826e-06,13.0160717732,8.59840054564,4.48147990237,-1.96785202888,-8.37018818998,0.0,10.2238791942,-359.92211826,-7.95294437655,-5.83319369685,-0.128891953718,203.144250552,-3.32310891964e-09,218.339454348,0.0,212.544450855,-49.9697281972
74,346.732107443,-6.05075365563e-05,16.1865451809,8.59840054581,3.58835191686,-7.75448455928,-3.71489719457,0.0,-4.11488252937,-441.886718116,-7.57251009528,-5.75883802725,-0.0986878702406,203.144250543,-5.31609404417e-08,218.339454344,0.0,94.3325008525,-196.909869245
75,79.8162212922,-9.73305046139e-05,4.86889928616,8.59840054863,0.591172995534,7.13914448349,4.79219240416,0.0,-30.5622909335,-117.877525006,-7.04462380181,-5.10708504693,-0.305210792963,203.14425041,-8.50069288034e-07,218.339454272,0.0,-121.688292426,181.28451886
76,324.411376485,-1.771681936e-05,12.149182257,7.31601806242,4.45251615199,-1.87990682656,-7.07036566332,0.0,-15.048373785,-366.454041671,-7.94669250209,-6.36282746111,-0.137980285459,242.612887443,1.31497055495e-08,221.870033339,0.0,214.420228604,-57.0112029273
77,38.5370591786,-0.000116580441727,11.6132306276,7.31601806242,1.71950333475,-1.0839378325,7.23527463645,0.0,-2.20435741864,-337.174125353,-6.59823351075,-6.12461480734,-0.119853914116,242.612887443,1.31485071322e-08,221.870033339,0.0,-219.421358876,-32.8721609059
78,4.8394760654,-8.88182646816e-05,15.2563015802,7.31601806242,2.96474675015,-7.20191360102,1.28707450175,0.0,-10.1734422745,-451.401444695,-7.1470688661,-6.24153907907,-0.098822700177,242.612887443,1.3149585295e-08,221.870033339,0.0,-39.0326076659,-218.40963173
79,348.614846868,-6.3784324415e-05,14.9861158016,7.31601806242,3.55787424737,-6.69122165818,-2.95832266846,0.0,-12.9171155141,-446.495917314,-7.54622720172,-6.28501619567,-0.106223054545,242.612887443,1.31498325742e-08,221.870033339,0.0,89.715900561,-202.922075882
80,53.2232239554,-0.000116506833493,8.32008899663,7.31601806242,1.14546342612,3.01876496111,6.66417124624,0.0,1.68461852893,-237.23641685,-6.65124403517,-6.01492229413,-0.168636487442,242.612887443,1.31480838785e-08,221.870033339,0.0,-202.101728553,91.5489104777
81,307.255377749,1.7337016321e-05,5.58316878249,6.41044693914,5.51722738126,4.62012851911,-4.44389946178,0.0,-44.4248364044,-175.28235091,-7.8846482528,-6.62264805468,-0.297903640283,279.652981452,-1.72533578455e-07,224.087574871,0.0,155.343716596,161.504089502
82,309.886996867,1.19824964411e-05,6.97756544391,6.4104469362,5.29470042187,3.52546314987,-5.35396483933,0.0,-43.472411907,-222.006126297,-7.93770843293,-6.71176667549,-0.239975571073,279.652981708,-1.07795815046e-08,224.087574974,0.0,187.156528904,123.238285229
83,27.4876461997,-0.000111595630721,12.3370797946,6.4104469362,2.04801008149,-2.94435674604,5.69425967742,0.0,12.0515079052,-384.088787239,-6.67135975327,-6.56745281266,-0.114072167248,279.652981708,-1.07801414398e-08,224.087574974,0.0,-199.052087172,-102.924767915
84,329.339955008,-2.76314501792e-05,1.93685689044,6.4104469362,6.12849427507,6.33390095674,-0.987688509646,0.0,-33.6298882877,-32.5690700581,-7.73652987127,-3.54691065035,-0.842541102592,279.652981708,-1.07807371904e-08,224.087574974,0.0,34.5262545795,221.411786051
85,36.6165053609,-0.000116021193843,10.7019704463,6.41044693602,1.66294778952,-0.589896344651,6.3832477801,0.0,19.3872376903,-329.441063712,-6.59058465372,-6.49368767646,-0.129908511903,279.652981724,-6.74688071692e-10,224.08757498,0.0,-223.136784348,-20.6207839619
86,351.416736436,-6.85322833522e-05,15.4736922615,7.65695705453,3.44797268246,-7.30038505421,-2.30940888438,0.0,-10.7558895141,-449.536519956,-7.47630058714,-6.12842752485,-0.101922678733,230.845957783,4.51832955661e-06,220.94719812,0.0,66.6397089204,-210.658048866
87,323.34781781,-1.55575768382e-05,12.4033481149,7.65695694092,4.45476353291,-1.95087842899,-7.4042597841,0.0,-8.05842877522,-365.638261991,-7.94761795525,-6.21856843934,-0.13516858415,230.845964633,1.76635769524e-08,220.947201398,0.0,213.655436528,-56.2940516199
88,317.294955772,-3.18920480321e-06,11.2815814599,7.65695694092,4.67446428364,-0.290318165044,-7.65145116681,0.0,-7.1953288586,-334.074988759,-7.97334780146,-6.24671238029,-0.149089911246,230.845964633,1.76634504544e-08,220.947201398,0.0,220.78832818,-8.37734712518
89,55.0468922822,-0.000115960785414,8.53738921608,7.65695694092,1.15270223627,3.10887343551,6.997420636,0.0,-7.48058114681,-238.071413074,-6.66226333697,-5.88245893422,-0.164616532421,230.845964633,1.76627152522e-08,220.947201398,0.0,-201.915789576,89.7088609091
90,338.905545713,-4.62267557638e-05,14.5588925028,7.65695694092,3.89527126869,-5.58327258212,-5.23985275259,0.0,-9.84197967595,-425.39481896,-7.74455709733,-6.16370456207,-0.112213783019,230.845964633,1.76632444515e-08,220.947201398,0.0,151.199857888,-161.109493141
91,5.6314194611,-8.98731782776e-05,14.5031827081,6.58872541442,2.92387684102,-6.4331878798,1.42316418232,0.0,-7.17099179559,-452.131155478,-7.12312900919,-6.57626141399,-0.103606128183,271.606348326,-1.27099101768e-08,223.692456242,0.0,-48.317553316,-218.411833519
92,50.3036640776,-0.000117135116248,2.76009615205,6.58872541442,0.328187262439,6.23707323863,2.12372785512,0.0,23.2649646594,-60.0393716387,-6.89523286949,-4.5885208553,-0.52696953616,271.606348326,-1.27078944309e-08,223.692456242,0.0,-72.1022459579,211.753585819
93,30.975345448,-0.00011362783941,12.0029220713,6.58872542075,1.92595815833,-2.29117722369,6.17752455274,0.0,10.7586702765,-368.054738942,-6.63546889894,-6.46849255984,-0.116617113333,271.606347804,-2.03351910588e-07,223.692456027,0.0,-209.731860209,-77.7872849279
94,331.138694387,-3.12028341563e-05,12.3448473215,6.58872541442,4.27153345911,-2.81149705028,-5.95875716261,0.0,-28.7083462015,-389.987087902,-7.89564880917,-6.66411084451,-0.134921079405,271.606348326,-1.27066208459e-08,223.692456242,0.0,202.304534193,-95.452555883
95,336.427123886,-4.15118247864e-05,13.0922407379,6.58872541442,4.06004005721,-3.99971655961,-5.2357969813,0.0,-25.9030673353,-412.84026343,-7.81462883819,-6.65190242095,-0.125913466036,271.606348326,-1.27068228102e-08,223.692456242,0.0,177.759462341,-135.793551127
96,72.9022010372,-0.000104548448386,1.50658074907,7.6930306972,0.18829253393,7.55705848466,1.43999596092,0.0,-5.60780804509,-33.4209889632,-7.24427967982,-4.67892082283,-1.01419533329,229.660564158,4.47433859703e-06,220.84822125,0.0,-41.3387812009,216.944790208
97,64.0508141578,-0.000111557680086,6.22766610148,7.69303059255,0.815263545285,5.27493091415,5.59980567063,0.0,-7.14729433334,-169.948701804,-6.80134008192,-5.75662089875,-0.230379732468,229.660570406,1.74910965849e-08,220.848224254,0.0,-160.756820548,151.430455337
98,304.226658094,2.34535507603e-05,8.42788990082,7.69303059871,5.14992235465,3.25958697577,-6.96834360089,0.0,-4.08914068411,-252.553175716,-7.9142267512,-6.32136208426,-0.198091719771,229.660570038,2.7981593786e-07,220.848224078,0.0,200.044220569,93.5748251145
